Init time, 0.050705
Iteration: 216, 0.066538, 15.879090
Iteration: 217, 0.067829, 15.948974
Iteration: 218, 0.068221, 16.019859
Iteration: 219, 0.086747, 16.108567
Iteration: 220, 0.128746, 16.249726
Iteration: 221, 0.065465, 16.317240
Iteration: 222, 0.064748, 16.383974
Iteration: 223, 0.064382, 16.450282
Iteration: 224, 0.064743, 16.517060
Iteration: 225, 0.087044, 16.607901
Iteration: 226, 0.121538, 16.732672
Iteration: 227, 0.082019, 16.817471
Iteration: 228, 0.067711, 16.887524
Iteration: 229, 0.062752, 16.952230
Iteration: 230, 0.065358, 17.019998
Iteration: 231, 0.064914, 17.086972
Iteration: 232, 0.071686, 17.160939
Iteration: 233, 0.066020, 17.229283
Iteration: 234, 0.077010, 17.308337
Iteration: 235, 0.076720, 17.387857
Iteration: 236, 0.076463, 17.466824
Iteration: 237, 0.073982, 17.543248
Iteration: 238, 0.093292, 17.638675
Iteration: 239, 0.077617, 17.718329
Iteration: 240, 0.074254, 17.794966
Iteration: 241, 0.065320, 17.862391
Iteration: 242, 0.064146, 17.928545
Iteration: 243, 0.069915, 18.000519
Iteration: 244, 0.061905, 18.064350
Iteration: 245, 0.065235, 18.131627
Iteration: 246, 0.065909, 18.199595
Iteration: 247, 0.071252, 18.272893
Iteration: 248, 0.066665, 18.342137
Iteration: 249, 0.062215, 18.406313
Iteration: 250, 0.064737, 18.473509
Iteration: 251, 0.063823, 18.539708
Iteration: 252, 0.063872, 18.606050
Iteration: 253, 0.062517, 18.670489
Iteration: 254, 0.069788, 18.742493
Iteration: 255, 0.069050, 18.813605
Iteration: 256, 0.073519, 18.889147
Iteration: 257, 0.112409, 19.003787
Iteration: 258, 0.064241, 19.070175
Iteration: 259, 0.066745, 19.139162
Iteration: 260, 0.066399, 19.207751
Iteration: 261, 0.066014, 19.276228
Iteration: 262, 0.062567, 19.340948
Iteration: 263, 0.066877, 19.410721
Iteration: 264, 0.081207, 19.493966
Iteration: 265, 0.068955, 19.565020
Iteration: 266, 0.067905, 19.635538
Iteration: 267, 0.067536, 19.705340
Iteration: 268, 0.071442, 19.778940
Iteration: 269, 0.066130, 19.847201
Iteration: 270, 0.069407, 19.918803
Iteration: 271, 0.067299, 19.988284
Iteration: 272, 0.067432, 20.058011
Iteration: 273, 0.066290, 20.126753
Iteration: 274, 0.066076, 20.194942
Iteration: 275, 0.066830, 20.263802
Iteration: 276, 0.064886, 20.330617
Iteration: 277, 0.067849, 20.400574
Iteration: 278, 0.066427, 20.469086
Iteration: 279, 0.069270, 20.540521
Iteration: 280, 0.062534, 20.605459
Iteration: 281, 0.065431, 20.673024
Iteration: 282, 0.064060, 20.739491
Iteration: 283, 0.064945, 20.806966
Iteration: 284, 0.062323, 20.871883
Iteration: 285, 0.065300, 20.939404
Iteration: 286, 0.064619, 21.006083
Iteration: 287, 0.064669, 21.072829
Iteration: 288, 0.065236, 21.140473
Iteration: 289, 0.065063, 21.207970
Iteration: 290, 0.061878, 21.272148
Iteration: 291, 0.064595, 21.338816
Iteration: 292, 0.065121, 21.406041
Iteration: 293, 0.065423, 21.473531
Iteration: 294, 0.062270, 21.538217
Iteration: 295, 0.066247, 21.606561
Iteration: 296, 0.068169, 21.677266
Iteration: 297, 0.065310, 21.744616
Iteration: 298, 0.071308, 21.817963
Iteration: 299, 0.064941, 21.884961
Iteration: 300, 0.064804, 21.951849
Iteration: 301, 0.065185, 22.019532
Iteration: 302, 0.062043, 22.083586
Iteration: 303, 0.065718, 22.151410
Iteration: 304, 0.062846, 22.216178
Iteration: 305, 0.066263, 22.284502
Iteration: 306, 0.068768, 22.355326
Iteration: 307, 0.071144, 22.428679
Iteration: 308, 0.068573, 22.499722
Iteration: 309, 0.064795, 22.566499
Iteration: 310, 0.068825, 22.637427
Iteration: 311, 0.067060, 22.706636
Iteration: 312, 0.064585, 22.773643
Iteration: 313, 0.062907, 22.838901
Iteration: 314, 0.065617, 22.906591
Iteration: 315, 0.067524, 22.976498
Iteration: 316, 0.068133, 23.046873
Iteration: 317, 0.066013, 23.115175
Iteration: 318, 0.066359, 23.183634
Iteration: 319, 0.064429, 23.250050
Iteration: 320, 0.066211, 23.318326
Iteration: 321, 0.066099, 23.386520
Iteration: 322, 0.065796, 23.454512
Iteration: 323, 0.064437, 23.520865
Iteration: 324, 0.067669, 23.590776
Iteration: 325, 0.067573, 23.660802
Iteration: 326, 0.065792, 23.728703
Iteration: 327, 0.073512, 23.804235
Iteration: 328, 0.065898, 23.872335
Iteration: 329, 0.063355, 23.937653
Iteration: 330, 0.065395, 24.005120
Iteration: 331, 0.068081, 24.075249
Iteration: 332, 0.068642, 24.146347
Iteration: 333, 0.094533, 24.242879
Iteration: 334, 0.078483, 24.323463
Iteration: 335, 0.067560, 24.394187
Iteration: 336, 0.066853, 24.463147
Iteration: 337, 0.067872, 24.533145
Iteration: 338, 0.067506, 24.602715
Iteration: 339, 0.064690, 24.669493
Iteration: 340, 0.070777, 24.742536
Iteration: 341, 0.069964, 24.814624
Iteration: 342, 0.067767, 24.884510
Iteration: 343, 0.064656, 24.951151
Iteration: 344, 0.068580, 25.021832
Iteration: 345, 0.068288, 25.092147
Iteration: 346, 0.064162, 25.158372
Iteration: 347, 0.064830, 25.225674
Iteration: 348, 0.064486, 25.292249
Iteration: 349, 0.065000, 25.359396
Iteration: 350, 0.062238, 25.423631
Iteration: 351, 0.064570, 25.490646
Iteration: 352, 0.070738, 25.563658
Iteration: 353, 0.102796, 25.673985
Iteration: 354, 0.081849, 25.759095
Iteration: 355, 0.070010, 25.831655
Iteration: 356, 0.065414, 25.899182
Iteration: 357, 0.063074, 25.964412
Iteration: 358, 0.065658, 26.032128
Iteration: 359, 0.065639, 26.099859
Iteration: 360, 0.065134, 26.167100
Iteration: 361, 0.062896, 26.231922
Iteration: 362, 0.065064, 26.299023
Iteration: 363, 0.064870, 26.365930
Iteration: 364, 0.064851, 26.432805
Iteration: 365, 0.066012, 26.500760
Iteration: 366, 0.066177, 26.569056
Iteration: 367, 0.066929, 26.638200
Iteration: 368, 0.068203, 26.708556
Iteration: 369, 0.066610, 26.777190
Iteration: 370, 0.064858, 26.844080
Iteration: 371, 0.061921, 26.907946
Iteration: 372, 0.064500, 26.974905
