Init time, 0.032323
Iteration: 309, 0.022008, 7.438675
Iteration: 310, 0.023051, 7.461728
Iteration: 311, 0.030116, 7.491846
Iteration: 312, 0.022660, 7.514507
Iteration: 313, 0.018405, 7.532914
Iteration: 314, 0.023013, 7.555928
Iteration: 315, 0.029825, 7.585754
Iteration: 316, 0.029061, 7.614816
Iteration: 317, 0.019269, 7.634086
Iteration: 318, 0.021600, 7.655687
Iteration: 319, 0.027736, 7.683425
Iteration: 320, 0.020008, 7.703435
Iteration: 321, 0.019027, 7.722463
Iteration: 322, 0.023838, 7.746302
Iteration: 323, 0.024693, 7.770996
Iteration: 324, 0.019080, 7.790077
Iteration: 325, 0.018880, 7.808958
Iteration: 326, 0.023584, 7.832543
Iteration: 327, 0.019676, 7.852220
Iteration: 328, 0.023121, 7.875342
Iteration: 329, 0.025026, 7.900369
Iteration: 330, 0.023469, 7.923839
Iteration: 331, 0.017994, 7.941835
Iteration: 332, 0.023870, 7.965707
Iteration: 333, 0.019886, 7.985594
Iteration: 334, 0.031591, 8.017187
Iteration: 335, 0.030230, 8.047418
Iteration: 336, 0.025235, 8.072655
Iteration: 337, 0.018521, 8.091177
Iteration: 338, 0.022448, 8.113626
Iteration: 339, 0.027405, 8.141032
Iteration: 340, 0.031244, 8.172277
Iteration: 341, 0.017984, 8.190262
Iteration: 342, 0.023528, 8.213793
Iteration: 343, 0.023756, 8.237550
Iteration: 344, 0.025876, 8.263427
Iteration: 345, 0.019366, 8.282795
Iteration: 346, 0.022536, 8.305333
Iteration: 347, 0.021163, 8.326498
Iteration: 348, 0.019109, 8.345608
Iteration: 349, 0.023277, 8.368886
Iteration: 350, 0.027857, 8.396745
Iteration: 351, 0.026650, 8.423396
Iteration: 352, 0.026882, 8.450280
Iteration: 353, 0.030344, 8.480625
Iteration: 354, 0.025604, 8.506230
Iteration: 355, 0.022773, 8.529015
Iteration: 356, 0.024096, 8.553113
Iteration: 357, 0.026568, 8.579682
Iteration: 358, 0.022055, 8.601740
Iteration: 359, 0.032314, 8.634055
Iteration: 360, 0.027857, 8.661914
Iteration: 361, 0.031312, 8.693227
Iteration: 362, 0.019931, 8.713160
Iteration: 363, 0.021607, 8.734768
Iteration: 364, 0.024964, 8.759733
Iteration: 365, 0.024555, 8.784289
Iteration: 366, 0.019120, 8.803411
Iteration: 367, 0.021222, 8.824635
Iteration: 368, 0.021187, 8.845823
Iteration: 369, 0.018924, 8.864748
Iteration: 370, 0.022022, 8.886772
Iteration: 371, 0.018918, 8.905692
Iteration: 372, 0.021345, 8.927038
Iteration: 373, 0.021093, 8.948132
Iteration: 374, 0.026832, 8.974966
Iteration: 375, 0.017481, 8.992449
Iteration: 376, 0.021205, 9.013655
Iteration: 377, 0.022729, 9.036385
Iteration: 378, 0.017080, 9.053466
Iteration: 379, 0.024459, 9.077927
Iteration: 380, 0.018140, 9.096068
Iteration: 381, 0.018996, 9.115065
Iteration: 382, 0.022161, 9.137227
Iteration: 383, 0.022100, 9.159328
Iteration: 384, 0.035095, 9.194425
Iteration: 385, 0.023628, 9.218054
Iteration: 386, 0.018390, 9.236446
Iteration: 387, 0.021653, 9.258100
Iteration: 388, 0.021944, 9.280046
Iteration: 389, 0.023616, 9.303664
Iteration: 390, 0.025535, 9.329201
Iteration: 391, 0.021587, 9.350789
Iteration: 392, 0.021978, 9.372768
Iteration: 393, 0.018225, 9.390994
Iteration: 394, 0.023757, 9.414752
Iteration: 395, 0.022109, 9.436862
Iteration: 396, 0.019036, 9.455899
Iteration: 397, 0.024477, 9.480377
Iteration: 398, 0.025561, 9.505940
Iteration: 399, 0.022094, 9.528035
Iteration: 400, 0.020402, 9.548439
Iteration: 401, 0.023570, 9.572011
Iteration: 402, 0.024689, 9.596701
Iteration: 403, 0.025168, 9.621871
Iteration: 404, 0.019474, 9.641346
Iteration: 405, 0.024466, 9.665813
Iteration: 406, 0.023062, 9.688876
Iteration: 407, 0.023798, 9.712676
Iteration: 408, 0.020598, 9.733276
Iteration: 409, 0.027157, 9.760435
Iteration: 410, 0.027831, 9.788267
Iteration: 411, 0.021712, 9.809980
Iteration: 412, 0.017535, 9.827516
Iteration: 413, 0.027798, 9.855315
Iteration: 414, 0.018422, 9.873738
Iteration: 415, 0.021996, 9.895735
Iteration: 416, 0.018287, 9.914023
Iteration: 417, 0.031899, 9.945923
Iteration: 418, 0.033673, 9.979597
Iteration: 419, 0.023980, 10.003579
Iteration: 420, 0.019089, 10.022670
Iteration: 421, 0.017375, 10.040046
Iteration: 422, 0.029179, 10.069226
Iteration: 423, 0.032270, 10.101498
Iteration: 424, 0.023481, 10.124982
Iteration: 425, 0.024306, 10.149289
Iteration: 426, 0.026661, 10.175951
Iteration: 427, 0.021623, 10.197575
Iteration: 428, 0.023310, 10.220887
Iteration: 429, 0.021957, 10.242845
Iteration: 430, 0.021595, 10.264442
Iteration: 431, 0.018794, 10.283237
Iteration: 432, 0.031439, 10.314677
Iteration: 433, 0.023679, 10.338358
Iteration: 434, 0.022528, 10.360887
Iteration: 435, 0.017767, 10.378656
Iteration: 436, 0.021562, 10.400220
Iteration: 437, 0.023124, 10.423345
Iteration: 438, 0.018200, 10.441547
Iteration: 439, 0.023452, 10.465001
Iteration: 440, 0.021806, 10.486808
Iteration: 441, 0.022422, 10.509232
Iteration: 442, 0.020306, 10.529539
Iteration: 443, 0.023577, 10.553117
Iteration: 444, 0.021834, 10.574953
Iteration: 445, 0.021551, 10.596507
Iteration: 446, 0.025554, 10.622062
Iteration: 447, 0.025067, 10.647131
Iteration: 448, 0.024395, 10.671528
Iteration: 449, 0.017462, 10.688992
Iteration: 450, 0.023253, 10.712247
Iteration: 451, 0.021585, 10.733834
Iteration: 452, 0.018493, 10.752330
Iteration: 453, 0.019187, 10.771518
Iteration: 454, 0.021778, 10.793298
Iteration: 455, 0.017683, 10.810982
Iteration: 456, 0.022712, 10.833696
Iteration: 457, 0.020987, 10.854685
Iteration: 458, 0.024062, 10.878749
Iteration: 459, 0.018340, 10.897091
Iteration: 460, 0.021842, 10.918935
Iteration: 461, 0.023281, 10.942218
Iteration: 462, 0.018267, 10.960487
Iteration: 463, 0.022302, 10.982790
Iteration: 464, 0.022584, 11.005376
Iteration: 465, 0.018133, 11.023511
Iteration: 466, 0.022058, 11.045571
Iteration: 467, 0.022542, 11.068115
Iteration: 468, 0.017309, 11.085425
Iteration: 469, 0.021321, 11.106747
Iteration: 470, 0.021886, 11.128634
Iteration: 471, 0.018127, 11.146775
Iteration: 472, 0.021204, 11.167981
Iteration: 473, 0.021861, 11.189843
Iteration: 474, 0.017562, 11.207406
Iteration: 475, 0.021341, 11.228748
Iteration: 476, 0.019458, 11.248207
Iteration: 477, 0.017066, 11.265275
Iteration: 478, 0.021886, 11.287163
Iteration: 479, 0.021747, 11.308911
Iteration: 480, 0.019027, 11.327939
Iteration: 481, 0.024585, 11.352526
Iteration: 482, 0.025937, 11.378465
Iteration: 483, 0.040015, 11.418482
Iteration: 484, 0.022394, 11.440878
Iteration: 485, 0.019958, 11.460838
Iteration: 486, 0.018551, 11.479390
Iteration: 487, 0.024154, 11.503545
Iteration: 488, 0.021667, 11.525214
Iteration: 489, 0.018482, 11.543698
Iteration: 490, 0.022124, 11.565824
Iteration: 491, 0.018942, 11.584768
Iteration: 492, 0.024705, 11.609474
Iteration: 493, 0.022985, 11.632460
Iteration: 494, 0.022167, 11.654629
Iteration: 495, 0.019747, 11.674377
